,Descriptions,Links,Location,Price
0,"3 Bed 3½ Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Caves+Heights/579522/rent/""><img alt="" "" src=""/photos/thumb/586d23853192c.jpg""/></a>","Nassau/New Providence, West N.P., Caves Heights","	$6,500 "
1,"3 Bed 3½ Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Beach+Front+at+Bayroc/580623/rent/""><img alt="" "" src=""/photos/thumb/5a37ce076bf28.jpg""/></a>","Nassau/New Providence, West N.P., Bayroc","	$6,000 "
2,"3 Bed 3 Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Chateau+del+Mar+Villas/565304/rent/""><img alt="" "" src=""/photos/thumb/500da84403607.jpg""/></a>","Nassau/New Providence, West N.P., Chateau del Mar Villas","	$6,000 "
3,"3 Bed 3 Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Seapointe/573394/rent/""><img alt="" "" src=""/photos/thumb/59f8cf3ed7b94.jpg""/></a>","Nassau/New Providence, East N.P., Port New Providence","	$4,500 "
4,"3 Bed 2 Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Oceanview+Delaporte+Townhome/582085/rent/""><img alt="" "" src=""/photos/thumb/59e8e3e93993a.jpeg""/></a>","Nassau/New Providence, West N.P., Delaporte Point","	$3,400 "
5,"3 Bed 2 Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Venetian+West/581860/rent/""><img alt="" "" src=""/photos/thumb/59c54e2ec3e36.jpg""/></a>","Nassau/New Providence, West N.P., Venetian West","	$3,000 "
6,"2 Bed 2 Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Bright+and+Airy+Carefree/563504/rent/""><img alt="" "" src=""/photos/thumb/5a79d7bde616c.jpg""/></a>","Nassau/New Providence, West N.P., Carefree","	$2,650 "
7,"1 Bed 2 Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Island+Living+at+The+Islands+Club/582826/rent/""><img alt="" "" src=""/photos/thumb/5a6f2877aa1bf.jpg""/></a>","Nassau/New Providence, West N.P., Cable Beach","	$2,600 "
8,"2 Bed 2 Bath Apartment, Apartment Building, Apartment Complex, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Cedar+Pine+Villas+2+/566014/rent/""><img alt="" "" src=""/photos/thumb/502935f8ec8a6.jpg""/></a>","Nassau/New Providence, West N.P., Westward Villas","	$2,300 "
9,3 Bed 2 Bath Apartment,"<a href=""/view/NassauNew+Providence/Wits+End+Cottage+in+Adelaide/578923/rent/""><img alt="" "" src=""/photos/thumb/59a9a5d4ecdbf.jpg""/></a>","Nassau/New Providence, West N.P., Adelaide","	$2,200 "
10,"2 Bed 2 Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Coral+Harbour/576694/rent/""><img alt="" "" src=""/photos/thumb/56bb4dd7b6eea.jpeg""/></a>","Nassau/New Providence, West N.P., Coral Harbour","	$2,200 "
11,"2 Bed 1 Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Relaxed+Living+at+Towers+of+Cable+Beach/583473/rent/""><img alt="" "" src=""/photos/thumb/5ad4b8496b944.jpg""/></a>","Nassau/New Providence, West N.P., Towers of Cable Beach","	$2,100 "
12,"2 Bed 1½ Bath Apartment, Condo/Townhouse","<a href=""/view/NassauNew+Providence/Sandford+Mews/563595/rent/""><img alt="" "" src=""/photos/thumb/50294016a54f2.jpg""/></a>","Nassau/New Providence, West N.P., Sandford Drive","	$2,000 "
